year,school,subject,download_url
109,"國立成功大學-資訊管理研究所乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88744&iDP=60252&iS=3086"
109,"國立成功大學-資訊管理研究所甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88744&iDP=60251&iS=3086"
109,"國立成功大學-製造資訊與系統研究所丙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88618&iDP=60899&iS=3086"
109,"國立清華大學-資訊系統與應用研究所乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88500&iDP=60865&iS=3086"
109,"國立清華大學-資訊系統與應用研究所丁組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88500&iDP=60886&iS=3086"
109,"國立清華大學-資訊系統與應用研究所丙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88500&iDP=60866&iS=3086"
109,"國立清華大學-資訊系統與應用研究所甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88500&iDP=60822&iS=3086"
109,"國立清華大學-生命科學院聯招：分子與細胞生物研究所、分子醫學研究所、生物資訊與結構生物研究所、生物科技研究所、系統神經科學研究所丙組",計算機概論(演算法與計算機數學),"https://master.get.com.tw/exam/Download.ashx?iP=88482&iDP=60218&iS=1408"
109,"私立輔仁大學-資訊管理學系碩士班",計算機概論（含程式設計）,"https://master.get.com.tw/exam/Download.ashx?iP=89269&iDP=60602&iS=6531"
109,"私立輔仁大學-應用統計研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=89265&iDP=60600&iS=3086"
109,"私立輔仁大學-圖書資訊學系碩士班乙組",計算機概論（乙）,"https://master.get.com.tw/exam/Download.ashx?iP=89232&iDP=60579&iS=6115"
109,"私立慈濟大學-醫學資訊學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=89107&iDP=61776&iS=3086"
109,"私立元智大學-電機工程學系碩士班數位科技組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=89037&iDP=60880&iS=3086"
109,"私立元智大學-資訊工程學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=89028&iDP=60636&iS=3086"
109,"私立元智大學-工業工程與管理學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=89021&iDP=60632&iS=3086"
109,"私立東吳大學-巨量資料管理學院碩士學位學程",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=89000&iDP=61446&iS=3086"
109,"私立東吳大學-資訊管理學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88999&iDP=60571&iS=3086"
109,"國立中正大學-資訊工程學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88362&iDP=61765&iS=3086"
109,"國立中正大學-資訊管理學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88387&iDP=60460&iS=3086"
109,"國立中正大學-資訊管理學系碩士班甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88387&iDP=60459&iS=3086"
109,"國立中正大學-資訊管理學系醫療資訊管理碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88382&iDP=60461&iS=3086"
109,"國立臺北大學-資訊管理學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88271&iDP=60802&iS=3086"
109,"國立政治大學-資訊管理學系碩士班科技組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88182&iDP=59991&iS=3086"
109,"國立政治大學-資訊管理學系碩士班資管組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88180&iDP=60928&iS=3086"
109,"國立政治大學-數位內容碩士學位學程創意傳播組",計算機概論與程式設計,"https://master.get.com.tw/exam/Download.ashx?iP=88142&iDP=59964&iS=4651"
109,"國立政治大學-數位內容碩士學位學程資訊技術組",計算機概論與程式設計,"https://master.get.com.tw/exam/Download.ashx?iP=88075&iDP=59965&iS=4651"
109,"國立政治大學-圖書資訊與檔案學研究所圖書資訊學組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88047&iDP=59955&iS=3086"
109,"國立臺灣大學-生物機電系碩士班丙組",計算機概論（D）,"https://master.get.com.tw/exam/Download.ashx?iP=87930&iDP=60122&iS=6030"
109,"國立臺灣大學-工程科學及海洋工程學系碩士班丁組",計算機概論（A）,"https://master.get.com.tw/exam/Download.ashx?iP=87835&iDP=60060&iS=3368"
109,"國立臺灣大學-地質科學系碩士班應用地質組",計算機概論（B）,"https://master.get.com.tw/exam/Download.ashx?iP=87670&iDP=60039&iS=3272"
109,"國立臺灣大學-圖書資訊系碩士班",電子計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=87620&iDP=60017&iS=3037"
